Date,Time,Zone,Device,PPM,VOC
12/21/2021,18:59,Zone1,T2,552,23
12/21/2021,18:59,Zone2,T1,570,25
12/21/2021,18:59,Zone2,T2,500,15
12/21/2021,18:59,Zone1,T3,0,0
12/21/2021,18:59,Zone1,T4,0,0
12/21/2021,19:00,Zone1,T1,605,31
12/21/2021,19:00,Zone1,T2,552,23
12/21/2021,19:00,Zone2,T1,523,18
12/21/2021,19:00,Zone2,T2,459,8
12/21/2021,19:00,Zone1,T3,0,0
12/21/2021,19:00,Zone1,T4,0,0
12/21/2021,19:01,Zone1,T1,588,28
12/21/2021,19:01,Zone1,T2,552,23
12/21/2021,19:01,Zone2,T1,530,19
12/21/2021,19:01,Zone2,T2,505,15
12/21/2021,19:01,Zone1,T3,0,0
12/21/2021,19:01,Zone1,T4,0,0
12/21/2021,19:02,Zone1,T1,600,30
12/21/2021,19:02,Zone1,T2,552,23
12/21/2021,19:03,Zone1,T1,603,30
12/21/2021,19:03,Zone1,T2,552,23
12/21/2021,19:03,Zone2,T1,637,36
12/21/2021,19:03,Zone2,T2,529,19
12/21/2021,19:03,Zone1,T3,0,0
12/21/2021,19:03,Zone1,T4,0,0
12/21/2021,19:05,Zone1,T1,577,26
12/21/2021,19:05,Zone1,T2,552,23
12/21/2021,19:05,Zone2,T1,534,20
12/21/2021,19:05,Zone2,T2,529,19
12/21/2021,19:05,Zone1,T3,0,0
12/21/2021,19:05,Zone1,T4,0,0
12/21/2021,19:06,Zone1,T1,586,28
12/21/2021,19:06,Zone1,T2,552,23
12/21/2021,19:06,Zone2,T1,602,30
12/21/2021,19:06,Zone2,T2,465,9
12/21/2021,19:06,Zone1,T3,0,0
12/21/2021,19:06,Zone1,T4,0,0
12/21/2021,19:07,Zone1,T1,591,29
12/21/2021,19:07,Zone1,T2,552,23
12/21/2021,19:07,Zone2,T1,589,28
12/21/2021,19:07,Zone2,T2,541,21
12/21/2021,19:07,Zone1,T3,0,0
12/21/2021,19:07,Zone1,T4,0,0
12/21/2021,19:09,Zone1,T1,591,29
12/21/2021,19:09,Zone1,T2,552,23
12/21/2021,19:09,Zone2,T1,577,26
12/21/2021,19:09,Zone2,T2,532,20
12/21/2021,19:09,Zone1,T3,0,0
12/21/2021,19:09,Zone1,T4,0,0
12/21/2021,19:11,Zone1,T1,575,26
12/21/2021,19:11,Zone1,T2,552,23
12/21/2021,19:11,Zone2,T1,597,30
12/21/2021,19:11,Zone2,T2,549,22
12/21/2021,19:11,Zone1,T3,0,0
12/21/2021,19:11,Zone1,T4,0,0
12/21/2021,19:12,Zone1,T1,556,23
12/21/2021,19:12,Zone1,T2,552,23
12/21/2021,19:12,Zone2,T1,520,18
12/21/2021,19:12,Zone2,T2,434,5
12/21/2021,19:12,Zone1,T3,0,0
12/21/2021,19:12,Zone1,T4,0,0
12/21/2021,19:13,Zone1,T1,597,30
12/21/2021,19:13,Zone1,T2,552,23
12/21/2021,19:13,Zone2,T1,520,18
12/21/2021,19:13,Zone2,T2,542,21
12/21/2021,19:13,Zone1,T3,0,0
12/21/2021,19:13,Zone1,T4,0,0
12/21/2021,19:14,Zone1,T1,565,25
12/21/2021,19:14,Zone1,T2,552,23
12/21/2021,19:14,Zone2,T1,588,28
12/21/2021,19:14,Zone2,T2,413,1
12/21/2021,19:14,Zone1,T3,0,0
12/21/2021,19:14,Zone1,T4,0,0
12/21/2021,19:16,Zone1,T1,570,25
12/21/2021,19:16,Zone1,T2,552,23
12/21/2021,19:16,Zone2,T1,555,23
12/21/2021,19:16,Zone2,T2,406,0
12/21/2021,19:17,Zone1,T1,589,28
12/21/2021,19:17,Zone1,T2,552,23
12/21/2021,19:17,Zone2,T1,596,29
12/21/2021,19:17,Zone2,T2,557,23
12/21/2021,19:17,Zone1,T3,0,0
12/21/2021,19:17,Zone1,T4,0,0
12/21/2021,19:18,Zone1,T1,570,25
12/21/2021,19:18,Zone1,T2,552,23
12/21/2021,19:18,Zone2,T1,615,32
12/21/2021,19:18,Zone2,T2,428,4
12/21/2021,19:18,Zone1,T3,0,0
12/21/2021,19:18,Zone1,T4,0,0
12/21/2021,19:20,Zone1,T1,588,28
12/21/2021,19:20,Zone1,T2,552,23
12/21/2021,19:20,Zone2,T1,549,22
12/21/2021,19:20,Zone2,T2,441,6
12/21/2021,19:21,Zone1,T1,548,22
12/21/2021,19:21,Zone1,T2,552,23
12/21/2021,19:21,Zone2,T1,575,26
12/21/2021,19:21,Zone2,T2,595,29
12/21/2021,19:21,Zone1,T3,0,0
12/21/2021,19:21,Zone1,T4,0,0
12/21/2021,19:22,Zone1,T1,596,29
12/21/2021,19:22,Zone1,T2,552,23
12/21/2021,19:22,Zone2,T1,600,30
12/21/2021,19:22,Zone2,T2,441,6
12/21/2021,19:22,Zone1,T3,0,0
12/21/2021,19:22,Zone1,T4,0,0
12/21/2021,19:23,Zone1,T1,581,27
12/21/2021,19:23,Zone1,T2,552,23
12/21/2021,19:23,Zone2,T1,531,19
12/21/2021,19:23,Zone2,T2,591,29
